"","full_name","description","language","created_at"
"490","RBVI/setsApp","A Cytoscape 3 App to create and operate on sets of CyNodes and CyEdges","Java","2013-06-05T18:48:13Z"
"491","F1000Research/setsApp","A Cytoscape 3 App to create and operate on sets of CyNodes and CyEdges","Java","2014-06-10T14:41:38Z"
"492","BaderLab/EnrichmentMapApp","","Java","2013-04-23T22:43:39Z"
"493","F1000Research/EnrichmentMapApp","","Java","2014-06-17T11:29:15Z"
"494","mozack/abra","Assembly Based ReAligner","Java","2012-11-07T20:43:17Z"
"495","samtools/samtools","Tools (written in C using htslib) for manipulating next-generation sequencing data","C","2012-03-09T02:49:58Z"
"496","topsoil/patternCNV","a versatile tool for detecting copy number changes from exome-seq data","R","2014-01-06T04:54:34Z"
"497","tadKeys/sparqlgraph","SPARQLGraph - Visual Query Builder for Biological RDF Databases","JavaScript","2014-06-20T17:42:45Z"
"498","richardmleggett/nextclip","Nextera Long Mate Pair analysis and processing tool","C","2013-08-26T19:40:49Z"
"499","zd1/telseq","A software for calculating telomere length","C++","2013-05-27T15:58:50Z"
"500","bioperl/Bio-Community","Modules for community biology","Perl","2011-11-30T02:28:58Z"
"501","jfmeadow/Meadow_etal_Phones","Analysis of bacteria on phones and fingers. ","R","2014-03-07T01:49:30Z"
"502","ollyburren/vseams","Variant set enrichment analysis (of association summary statistics) using multivariate sampling","Perl","2014-02-14T09:15:11Z"
"503","ollyburren/macd","simple perl interface to running a set of jobs on a compute farm. Oprimised for SGE","Perl","2013-11-08T09:24:43Z"
"504","idekerlab/pangia3","PanGIA 3.x which is compatible with Cytoscape 3.x","Java","2014-03-06T20:46:05Z"
"505","F1000Research/pangia3","PanGIA 3.x which is compatible with Cytoscape 3.x","Java","2014-06-13T10:38:46Z"
"506","AndersenLab/COPASutils","An R package for reading, cleaning, processing, and plotting COPAS BIOSORT data","R","2014-06-03T14:20:39Z"
"507","AndersenLab/COPASutils-data","Example data for the COPASutils R package",NA,"2014-07-03T16:12:31Z"
"508","szpiech/selscan","Haplotype based scans for selection","C","2013-12-24T14:14:56Z"
"509","jensengroup/fragbuilder","fragbuilder is a tool to create, setup and analyze QM calculations on peptides.","Python","2013-12-02T13:36:49Z"
"510","nedaz/cola","Modular and Configurable Optimal Sequence Alignment Tool","C++","2014-02-18T08:25:51Z"
"511","slzhao/ExonDel","ExonDel is a tool designed specially to efficiently detect exon deletions.","Perl","2013-11-12T21:17:12Z"
"512","mpc-bioinformatics/pia","PIA - Protein Inference Algorithms","Java","2013-11-14T15:04:41Z"
"513","mpc-bioinformatics/bacterial-proteogenomic-pipeline","The Bacterial Proteogenomic Pipeline","Java","2014-05-15T18:49:09Z"
"514","praveeniisc/ABS-Scan","Alanine binding site scanning mutagenesis for evaluting the contribution of individual residues at the binding site towards small-molecule ligand recognition","Python","2014-08-20T06:33:42Z"
"515","F1000Research/ABS-Scan","Alanine binding site scanning mutagenesis for evaluting the contribution of individual residues at the binding site towards small-molecule ligand recognition",NA,"2014-08-26T11:23:55Z"
"516","lisandracady/DivA","Detection of Non-homologous and Very Divergent Regions in Protein Sequence Alignments","Python","2014-07-03T10:10:27Z"
"517","lisandracady/DivA","Detection of Non-homologous and Very Divergent Regions in Protein Sequence Alignments","Python","2014-07-03T10:10:27Z"
"518","lisandracady/DivA","Detection of Non-homologous and Very Divergent Regions in Protein Sequence Alignments","Python","2014-07-03T10:10:27Z"
"519","MulletLab/qtl","R/qtl: A QTL mapping environment","R","2014-05-19T14:31:41Z"
"520","MulletLab/exHet_Supplement","Example script and simulation data to use the Truong and McCormick et al. 2014 variable heterozygosity model.","R","2014-07-25T14:04:18Z"
"521","NIF-au/TissueStack","Web based Image Viewer developed @ Center for Advanced Imaging [University of Queensland]","C++","2012-03-20T10:04:02Z"
"522","rii-mango/Papaya","A pure JavaScript medical research image viewer. ","JavaScript","2012-06-17T22:20:58Z"
"523","aces/brainbrowser","Web-based visualization tools for neurological data.","JavaScript","2014-03-12T16:10:51Z"
"524","aces/brainbrowser","Web-based visualization tools for neurological data.","JavaScript","2014-03-12T16:10:51Z"
"525","veg/idepi","IDentify EPItopes","Python","2011-09-14T23:09:53Z"
"526","veg/idepi","IDentify EPItopes","Python","2011-09-14T23:09:53Z"
"527","veg/idepi","IDentify EPItopes","Python","2011-09-14T23:09:53Z"
"528","ged-lab/2013-khmer-counting","Paper code: ""These are not the k-mers you are looking for: efficient online k-mer counting using a probabilistic data structure""","TeX","2013-05-29T15:44:48Z"
"529","wanpinglee/scissors","Split-read aligner","C","2011-08-11T20:53:50Z"
"530","mengyao/Complete-Striped-Smith-Waterman-Library","","C","2011-10-19T16:32:25Z"
"531","daler/metaseq","Framework for integrated analysis and plotting of ChIP/RIP/RNA/*-seq data","Python","2012-04-05T20:03:13Z"
"532","pysam-developers/pysam","Pysam is a python module for reading and manipulating Samfiles. It's a lightweight wrapper of the samtools C-API. Pysam also includes an interface for tabix. ","C","2014-02-05T20:38:10Z"
"533","daler/gffutils","GFF and GTF file manipulation and interconversion","Python","2011-10-12T13:48:14Z"
"534","brazilbean/Matlab-Colony-Analyzer-Toolkit","A toolkit written in Matlab for quantifying microbial colonies grown on agar plates in a systematic grid.","Matlab","2013-05-29T17:31:04Z"
"535","bbcf/bbcfutils","Collection of stand-alone tools","Python","2011-02-13T21:08:32Z"
"536","bbcf/bbcflib","Internal utility modules for the BBCF","Python","2011-02-04T15:46:31Z"
"537","HelloWorldCN/RapidMic",NA,"C","2013-05-30T08:41:47Z"
"538","4ndr01d3/biosual","HTML5 framework for bioinformatics visualization components","JavaScript","2012-11-23T10:27:15Z"
"539","brentp/pyfasta","fast, memory-efficient, pythonic (and command-line) access to fasta sequence files","Python","2010-07-14T22:45:27Z"
"540","jamescasbon/PyVCF","A Variant Call Format reader for Python.","Python","2011-10-30T16:52:40Z"
"541","smilefreak/selectionTools","Pipeline to take VCF through to Selection Analysis.","Python","2013-07-28T22:43:48Z"
"542","akiomiyao/tif","Transposon Insertion Finder","Perl","2014-01-27T00:58:30Z"
"543","srobb1/RelocaTE","Find the locations of TEs using the TSD in unassembled short reads by comparing to a closely related reference genome assembly","Perl","2012-05-18T17:42:25Z"
"544","grunwaldlab/poppr","An R package for genetic analysis of populations with mixed (clonal/sexual) reproduction","R","2013-02-19T19:18:38Z"
"545","mikel-egana-aranguren/SADI-Galaxy","Galaxy wrappers for SADI services, automatically created from the SADI registry","Java","2013-11-19T13:33:33Z"
"546","mikel-egana-aranguren/SPARQL_tools_tab2rdf","This is a modified version of the tab2rdf tool from http://toolshed.g2.bx.psu.edu/repos/sem4j/sparql_tools","Python","2013-12-10T11:19:20Z"
"547","CardiacImagingCharite/CardiacPerfusion","","C++","2013-02-04T18:39:25Z"
"548","CardiacImagingCharite/AutoAlignHeart","Program based on ITK to automatically align 3D cardiac CT scans","C++","2013-02-04T18:39:37Z"
"549","CardiacImagingCharite/CardiacPerfusion","","C++","2013-02-04T18:39:25Z"
"550","pbenner/tfbayes","Bayesian analysis of ChIP-Seq data for the identification of transcription factor binding sites.","Mathematica","2013-05-09T09:50:57Z"
"551","bacak/TrAP","TrAP is a tree averaging program. It computes medians and means of phylogenetic trees.","Java","2013-05-10T11:27:59Z"
"552","kelpforest-cameo/databaseui","Kelp forest species interactions database interface","JavaScript","2013-02-13T06:03:24Z"
"553","gem-pasteur/macsyfinder","MacSyFinder - Detection of macromolecular systems in protein datasets using systems modelling and similarity search.","Python","2014-04-25T10:26:52Z"
"554","gem-pasteur/macsyview","MacSyView - A web app for visualization of MacSyFinder's results.","JavaScript","2014-04-25T10:47:51Z"
"555","bglnelissen/slideToolkit","slideToolkit: a free toolset for analyzing full size virtual histology slides","Shell","2014-02-07T10:17:36Z"
"556","QBRC/ENA-Research","Research Behind Ensemble Network Aggregation","Shell","2012-12-14T17:13:52Z"
"557","alexschaefer83/DynamicHubs","",NA,"2013-12-17T14:24:14Z"
"558","INCF/BrainImagingPipelines","BIPs","Python","2012-02-22T05:47:56Z"
"559","NeuroanatomyAndConnectivity/NYC-Q","The New York Cognition Questionnaire, data, and code.","Python","2013-09-05T09:14:54Z"
"560","chengkun-wu/GenesThyCan","A project to text mine genes from Thyroid Cancer literature","Java","2013-12-30T23:07:14Z"
"561","chengkun-wu/PyPubmedText","A python wrapper for fetching Pubmed articles","Python","2013-12-05T11:33:47Z"
"562","evogytis/ebolaGuinea2014","Phylogenetic analysis of 2014 Ebolavirus outbreak in Guinea.","TeX","2014-04-23T11:12:08Z"
"563","stamatak/standard-RAxML","","C","2011-06-28T08:51:57Z"
"564","solonas13/maw","Minimal Absent Words","C++","2014-05-22T19:02:04Z"
"565","loopasam/ftc","Functional Therapeutic Chemical Classification System","Java","2012-11-02T09:58:35Z"
"566","loopasam/ftc","Functional Therapeutic Chemical Classification System","Java","2012-11-02T09:58:35Z"
"567","hbc/projects","In-progress projects at Harvard School of Public Health Bioinformaitcs Core","Python","2011-03-03T17:49:33Z"
"568","hbc/projects","In-progress projects at Harvard School of Public Health Bioinformaitcs Core","Python","2011-03-03T17:49:33Z"
"569","EBIBioSamples/myequivalents","","Java","2012-06-20T09:28:38Z"
"570","pwac092/gossto","Gene Ontology Semantic Similarity Tool","Java","2013-02-01T21:00:04Z"
"571","CGATOxford/cgat","CGAT - Computational Genomics Analysis Tools","Python","2013-08-29T15:28:50Z"
"572","reactome-fi/CytoscapePlugIn","Cytoscape PlugIn for Reactome Pathways and FI Networks","Java","2013-09-17T20:33:21Z"
"573","F1000Research/CytoscapePlugIn","Cytoscape PlugIn for Reactome Pathways and FI Networks","Java","2014-06-06T14:15:54Z"
"574","GMicale/GASOLINE","A Cytoscape App for computing and visualizing multiple local alignments of Protein-Protein Interaction (PPI) networks","Java","2014-06-12T15:32:50Z"
"575","F1000Research/GASOLINE","A Cytoscape App for computing and visualizing multiple local alignments of Protein-Protein Interaction (PPI) networks","Java","2014-06-13T14:02:16Z"
"576","juanjoDiaz/gfdnet","GFD-Net Cytoscape App","Java","2014-06-12T20:19:23Z"
"577","F1000Research/gfdnet","GFD-Net Cytoscape App","Java","2014-06-23T09:42:19Z"
"578","LEMS/LEMS","The Low Entropy Model Specification language: documentation, examples and Schema","XSLT","2012-12-13T10:58:54Z"
"579","NeuroML/NeuroML2","This repository hosts the NeuroML 2 Schema, the ComponentType definitions in LEMS and the core documentation of NeuroML2. ","Python","2012-11-07T13:37:07Z"
"580","NeuroML/NML2_LEMS_Examples","","Python","2014-04-23T11:30:52Z"
"581","baliga-lab/network_portal","A web-app for archiving and exploring gene-regulatory networks.","JavaScript","2011-11-16T17:57:24Z"
"582","NanoCAN/OpenLabFramework","A open source framework for research data management","JavaScript","2012-06-11T11:48:40Z"
"583","NanoCAN/OpenLabFramework","A open source framework for research data management","JavaScript","2012-06-11T11:48:40Z"
"584","embruna/Editorial-Board-Gender","Code used to analyze data on Gender Composition of Editorial Boards (Cho et al 2014 PeerJ)","R","2014-08-06T03:20:10Z"
"585","peterwharrison/SWAMP","Sliding Window Alignment Masker for PAML","Python","2014-04-22T09:35:29Z"
"586","udo-stenzel/mapping-iterative-assembler","consensus calling (or ""reference assisted assembly""), chiefly of ancient mitochondria","C","2012-07-02T14:34:39Z"
"587","preston/bittorious","An open source BitTorrent tracker and user management portal, supporting automatic RSS feed generation, role-based management, and real-time network monitoring.","Ruby","2014-03-09T07:45:41Z"
"588","shengqh/RCPA.Tools","","C#","2014-02-28T19:13:29Z"
"589","shengqh/RCPA.Tools","","C#","2014-02-28T19:13:29Z"
"590","noname2020/Bioc","","Java","2013-08-23T18:53:41Z"
"591","jstjohn/SeqPrep","Tool for stripping adaptors and/or merging paired reads with overlap into single reads.","C","2011-03-10T17:03:26Z"
"592","esyN/esyN-simulation","","R","2014-03-06T16:28:22Z"
"593","esyN/code","","JavaScript","2014-07-09T11:10:44Z"
"594","tanghaibao/goatools","Python scripts to find enrichment of GO terms","Python","2010-01-15T19:15:21Z"
"595","medialab/benchmarkForceAtlas2","","JavaScript","2014-03-17T12:37:29Z"
"596","medialab/benchmarkForceAtlas2","","JavaScript","2014-03-17T12:37:29Z"
"597","medialab/benchmarkForceAtlas2","","JavaScript","2014-03-17T12:37:29Z"
"598","gephi/gephi","trunk","Java","2011-10-22T03:14:46Z"
"599","rmflight/ccPaper","All the data and analysis for the categoryCompare publication","R","2013-11-26T20:39:07Z"
"600","rmflight/categoryCompare","Github repo of the categoryCompare meta-analysis package","R","2012-04-19T15:58:52Z"
"601","sqsun/kernelPLS","kernel partial least squares for feature selection","Matlab","2014-06-24T12:32:02Z"
"602","sqsun/kernelPLS-datasets","test datasets",NA,"2014-06-12T05:17:04Z"
"603","nh13/DWGSIM","Whole Genome Simulator for Next-Generation Sequencing","C","2011-10-19T00:19:14Z"
"604","naturalis/HTS-barcode-checker","Pipeline for BLAST analysis of Hight-throughput sequencing data.","Python","2012-10-15T23:10:11Z"
"605","leiferlab/mindcontrol","Closed-loop computer vision software to track and deliver patterned illumination to freely moving C. elegans as part of the CoLBeRT instrument.","C++","2013-11-06T19:51:36Z"
"606","leiferlab/mindcontrol","Closed-loop computer vision software to track and deliver patterned illumination to freely moving C. elegans as part of the CoLBeRT instrument.","C++","2013-11-06T19:51:36Z"
"607","G-Node/gnode-client-matlab","MATLAB-based client for G-Node data stores","Matlab","2011-08-04T20:54:59Z"
"608","G-Node/g-node-portal","G-Node portal repository (for the moment only docs)","Python","2011-09-22T15:17:41Z"
"609","jeffduda/StructConnRepro","Neuroinformatics Technical Report: Reproducibility of graph metrics of human brain structural networks","TeX","2013-05-17T15:53:16Z"
"610","jeffduda/Petiole","ITK Module for graph analysis of networks","C++","2013-06-07T19:46:18Z"
"611","Infogosoft/jsdicom","dicom library and viewer in javascript","JavaScript","2012-03-16T16:05:30Z"
"612","rii-mango/Papaya","A pure JavaScript medical research image viewer. ","JavaScript","2012-06-17T22:20:58Z"
"613","dgutman/ZeroFootPrintImageViewer_XnatView","Terrible name--- this is a Zero Foot Print Image Viewer (aka XnatView) that allows PACS like functionality from XNAT","JavaScript","2013-01-09T16:59:29Z"
"614","nedaz/kraken","A universal genomic coordinate translator for comparative genomics","C++","2013-09-10T08:49:15Z"
"615","gomezlab/single_invado_analysis","Quantitative Analysis of Single Invadopodia","CSS","2013-05-31T18:57:10Z"
"616","gomezlab/invado_population","Quantification of Invadopodia activity in cell populations","Matlab","2013-05-31T19:32:16Z"
"617","neufeld/pandaseq","PAired-eND Assembler for DNA sequences","C","2011-02-22T16:27:13Z"
"618","indraniel/fqgrep","An approximate sequence pattern matcher for FASTQ/FASTA files.","C","2011-03-15T17:12:15Z"
"619","gedankenstuecke/snpr","The sources of the openSNP website","Ruby","2011-06-07T17:37:02Z"
"620","EnvGen/DEGEPRIME","A program for degenerate primer design for broad taxonomic-range PCR for microbial ecology studies","Perl","2013-11-09T13:55:40Z"
"621","EnvGen/LabProtocols","The Environmental Genomic Group also does lab work. This is how we do it.",NA,"2013-10-25T08:24:57Z"
"622","EnvGen/Tutorials","A few guides in how to use our tools, and some other people's tools as well.","Perl","2013-10-25T08:39:16Z"
"623","seantuck12/MODISTools","R package - retrieving & using MODIS data from NASA LPDAAC archive","R","2012-08-09T14:03:24Z"
"624","sjbeckett/FALCON","","R","2013-08-08T12:26:45Z"
"625","F1000Research/FALCON","",NA,"2014-07-21T14:35:06Z"
"626","HaukeHillebrandt/SPM_connectome","Analysis of the data from the human connectome with SPM","Matlab","2013-05-31T17:46:18Z"
"627","LibourelLab/BiofloSoftware","Software to control Bioflo bioreactors",NA,"2013-10-30T01:05:01Z"
"628","fenderglass/Ragout","Ragout - a tool for reference-assisted assembly","Python","2013-08-03T10:51:46Z"
"629","jts/sga","de novo sequence assembler using string graphs","C++","2010-10-09T12:12:41Z"
"630","jts/preqc-paper","",NA,"2013-07-11T13:23:18Z"
"631","movence/OMETA","Ontology based event tracking application for project & sample management","Java","2014-04-08T14:22:21Z"
"632","ISA-tools/OntoMaton","OntoMaton facilitates ontology search and tagging functionalities within Google Spreadsheets.","JavaScript","2012-07-10T15:31:37Z"
"633","GSCID-BRC-Metadata-Standard-WG/GSCID-BRC-Project-and-Sample-Application-Standard","Data submission templates that capture metadata about the pathogen/vector isolate characteristics in an organized, clear, and consistent format. Mapping to terms from other data standards initiatives, including the Genomic Standards Consortium’s minimal information (MIxS), NCBI’s BioSample/BioProjects checklists and the Ontology for Biomedical Investigations (OBI) are provided.",NA,"2013-12-19T20:54:37Z"
"634","UppsalaGenomeCenter/CanvasDB","A local database infrastructure for analysis of targeted- and whole genome re-sequencing projects","R","2014-07-03T14:27:07Z"
"635","HIITMetagenomics/dsm-framework","Distributed String Mining Framework","C++","2013-08-21T13:05:11Z"
"636","OscarKrijgsman/focalCall","R-package for the detection and annotation of focal CNAs","R","2014-04-17T12:17:44Z"
"637","jwaldman/FastaValidator","an open-source Java library to parse and validate FASTA formatted sequences","Java","2014-01-09T17:17:19Z"
"638","paulgeeleher/pRRophetic","R package","R","2014-03-26T14:38:32Z"
"639","mfiers/polysnp",NA,"Python","2012-12-08T22:02:51Z"
"640","zalmanv/MST_minor_allele_caller","Perl script designed to study somatic variability in microsatellites using exome sequencing","Perl","2014-08-13T04:46:08Z"
"641","aradenbaugh/radia","RADIA:  RNA and DNA Integrated Analysis for Somatic Mutation Detection",NA,"2014-01-24T05:32:02Z"
"642","samtools/hts-specs","Specifications of SAM/BAM and related high-throughput sequencing file formats","TeX","2012-03-09T01:58:32Z"
"643","stnava/ITKv4Documentation","notes on the project status","Shell","2011-03-09T16:24:26Z"
"644","stnava/ANTs","Advanced Normalization Tools (ANTs)  ","C++","2013-01-23T15:43:41Z"
"645","BRAINSia/BRAINSTools","A suite of tools for medical image processing focused on brain analysis","C++","2013-02-19T13:06:31Z"
"646","ninjin/simsem","Semantic Category Disambiguation using SimString, large lexical resources and LibLinear","Python","2011-02-16T10:15:00Z"
"647","chupvl/SILIRID","silirid",NA,"2013-11-04T09:39:52Z"
"648","cauyrd/SVfinder","SVfinder is used for detecting genomic rearrangement form DNA-seq data","Perl","2013-02-27T15:56:13Z"
"649","INCF/p3-validator","Performs validation of odd-ball paradigm data using P300 classification","Matlab","2014-05-18T11:51:16Z"
"650","mkorpar/swSharp","CUDA parallelized version of Smith-Waterman algorithm (development version)","C","2011-10-16T09:25:53Z"
"651","kbroman/qtl","R/qtl: A QTL mapping environment","R","2009-02-12T19:08:24Z"
"652","maglab/naked-mole-rat-portal","A genome portal designed for the Naked Mole Rat Genome, but with some work could be applicable to other genomes","JavaScript","2014-05-23T11:00:53Z"
"653","sylvainforet/libngs","The Nifty GNU Sequence Library","C","2010-11-23T08:28:32Z"
"654","bioprojects/orderedPainting","","C++","2013-07-18T21:47:00Z"
"655","afenley/CAMS","Calculator of Atomistic Mechanical Stress (CAMS) is an open-source software package for computing atomic stresses from molecular dynamics simulations.","C","2014-08-15T00:38:32Z"
"656","afenley/CAMS","Calculator of Atomistic Mechanical Stress (CAMS) is an open-source software package for computing atomic stresses from molecular dynamics simulations.","C","2014-08-15T00:38:32Z"
"657","juliemkauffman/DyCoNet","A Gephi plugin for community detection in dynamic networks","Java","2013-11-14T20:35:45Z"
"658","richardmleggett/bubbleparse","Classify and rank SNPs identified by cortex_con","C","2011-03-25T11:45:05Z"
"659","danmaclean/Bubble-Parse","Perl module for bubbleparse","Perl","2013-04-15T08:42:56Z"
"660","cstubben/pmcXML","Tools for searching and parsing full text XML articles and tables in Pubmed Central","R","2013-05-08T15:57:39Z"
"661","arq5x/piledriver","Basic, no assumptions, multi-pileup","C++","2013-01-22T23:52:41Z"
"662","basvandenberg/spice","SPiCe - Sequence-based Protein Classification","Python","2013-04-01T12:59:43Z"
"663","basvandenberg/spiceweb","SPiCe - Sequence-based Protein Classification web application","CSS","2013-04-02T06:47:36Z"
"664","edwbaker/environment-data-logger","","Arduino","2013-06-04T10:07:04Z"
"665","edwbaker/environment-data-logger","","Arduino","2013-06-04T10:07:04Z"
"666","Smithsonian/Compositae-COS-workflow","","Perl","2013-09-06T17:40:07Z"
"667","sestaton/Pairfq","Sync paired-end FASTA/Q files and keep singleton reads","Perl","2013-10-29T14:34:06Z"
"668","ilri/tarakibu","An application designed for use by the DGEA project to collect samples from the field","Python","2011-08-19T13:45:04Z"
"669","ilri/ukasimu","A software for aliquoting laboratory and field samples","PHP","2011-08-08T13:42:41Z"
"670","torognes/swarm","A robust and fast clustering method for amplicon-based studies","C++","2012-11-10T12:13:18Z"
"671","hilaryparker/fSVA","fSVA","TeX","2013-03-14T00:56:13Z"
"672","ThorntonLab/annotation_methods","Methods for genome annotation using paired-end RNA-seq data","Shell","2014-03-31T22:55:54Z"
"673","ThorntonLab/GFF","GFF files coming out of our reannotation efforts",NA,"2014-04-01T19:52:16Z"
"674","kbroman/Paper_FunQTL","Source for paper, ""A simple regression-based method to map quantitative trait loci underlying function-valued phenotypes""","R","2014-05-30T13:36:01Z"
"675","ikwak2/funqtl","An R package for QTL mapping in function valued trait data ","R","2013-04-10T20:09:37Z"
"676","mpi2/PhenotypeArchive","EMBL-EBI Knockout mouse Phenotype archive database, pipelines and web application","Java","2012-11-21T16:39:03Z"
"677","wanderine/BROCCOLI","BROCCOLI: Software for Fast fMRI Analysis on Many-Core CPUs and GPUs","C++","2013-04-30T14:41:51Z"
"678","wanderine/NonSeparableFilteringCUDA","Code for non-separable filtering in 2, 3 and 4 dimensions with the CUDA programming language.","Cuda","2013-06-01T16:33:34Z"
"679","wanderine/BROCCOLI","BROCCOLI: Software for Fast fMRI Analysis on Many-Core CPUs and GPUs","C++","2013-04-30T14:41:51Z"
"680","armintoepfer/haploclique","Viral quasispecies assembly via maximal clique finding. A method to reconstruct viral haplotypes and detect large insertions and deletions from NGS data.","C++","2013-10-13T16:04:48Z"
"681","gablab/murfi2","The realtime fMRI software platform - an MIT-MGH collaboration","C++","2013-07-06T18:06:58Z"
"682","msrosenberg/fiddlercrab.info","The code and data to recreate the fiddlercrab.info website","Python","2014-03-21T19:18:16Z"
"683","UCanCompBio/AREBA","A RNA Encyclopaedia for Bacteria and Archaea","Gnuplot","2013-04-15T00:18:20Z"
"684","jsa-aerial/gaisr","Genomic Analysis Illuminating Structured RNA","Clojure","2011-08-11T23:52:33Z"
"685","dknoester/ealib","Evolutionary Algorithms Library","C++","2012-06-04T15:17:36Z"
"686","heathergoldsby/ealib","Evolutionary Algorithms Library","C++","2012-07-15T20:17:53Z"
"687","heathergoldsby/ealife","","C++","2012-08-05T20:19:44Z"
"688","G-Node/OEN","Ontology for Experimental Neurophysiology",NA,"2013-03-19T15:48:49Z"
"689","INCF/eeg-database"," EEG/ERP portal enables community researchers to store, update, download and search data and metadata from EEG/ERP experiments. The system is developed as a standalone product; the database access is available through a web interface.","Java","2012-05-25T06:09:12Z"
"690","brettc/partitionfinder","PartitionFinder discovers optimal partitioning schemes for DNA sequences.","C","2011-07-02T15:37:11Z"
"691","brettc/standard-RAxML","","C","2013-05-08T08:06:19Z"
"692","brettc/partitionfinder","PartitionFinder discovers optimal partitioning schemes for DNA sequences.","C","2011-07-02T15:37:11Z"
"693","ucdavis-bioinformatics/scythe","A 3'-end adapter contaminant trimmer","C","2011-02-09T17:16:55Z"
"694","gjospin/PhyloSift","Phylogenetic and taxonomic analysis for genomes and metagenomes","Perl","2010-10-29T21:30:25Z"
"695","Ecogenomics/PhylogeneticM","Feed the tree...","Python","2012-09-11T07:04:55Z"
"696","vsbuffalo/sam2counts","Count number of mapped reads per reference in SAM files (often for RNA-Seq experiments)","Python","2010-10-25T23:59:17Z"
"697","wijerasa/WGCNA_Analysis","","R","2014-07-17T17:06:18Z"
"698","c-ruttkies/MetFragR","R package for MetFrag","R","2013-01-20T22:37:15Z"
"699","rmylonas/MetaDB","MetaDB is an open-source web application for Metabolomics metadata management and data processing. It is based on ISA-Tab as metadata input format. The analysis of untargeted data is done using the R package MetaMS. This software is a project of Fondazione Edmund Mach.","Java","2013-10-16T11:42:24Z"
"700","ISA-tools/ISAcreator","ISAcreator is a Java desktop application which allows for creation and editing of ISATab files. Led by Eamonn Maguire, Alejandra Gonzalez-Beltran and Philippe Rocca-Serra (Uni. of Oxford).","Java","2010-12-10T18:24:15Z"
"701","DennisDean/HapSource","Implementation of Hierarchical AdaPtive Analysis (HAP)","Matlab","2014-01-29T17:41:01Z"
"702","Ecogenomics/APP","Ace Pyrotag Pipeline - wrapper for QIIME and R - interfaces with PyroDB","Perl","2012-03-16T15:04:35Z"
"703","minillinim/GroopM","Metagenomic binning suite","Python","2012-07-07T15:20:52Z"
"704","ctSkennerton/prepmate","processing mate-pair data from Illumina's nextera protocol","C","2013-10-06T10:13:34Z"
"705","clauswilke/MACV_SMD","Code and data for Meyer et al, Analyzing Machupo virus-receptor binding by molecular dynamics simulations, PeerJ 2:e266 (2014).","Tcl","2013-06-19T22:18:47Z"
"706","alyssafrazee/derfinder","R package for DER Finder, a method for differential expression analysis of RNA-seq data","R","2012-12-06T17:37:41Z"
"707","nmenda/GenomeTools","","Perl","2013-10-08T18:48:09Z"
"708","NanoCAN/MIRACLE","Microarray R-based Analysis of Complex Lysate Experiments","JavaScript","2012-04-28T17:47:25Z"
"709","kuleshov/ProbHap","",NA,"2014-01-11T07:16:43Z"
"710","major/MySQLTuner-perl","MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.","Perl","2009-05-29T14:10:26Z"
"711","PacificBiosciences/motif-finding","Kinetic Data QC and Motif Finding Scripts","R","2012-04-25T23:50:15Z"
"712","jjvenky/CO2-from-headwater-streams","Large Carbon Dioxide Fluxes From Headwater Boreal and Sub-Boreal Streams","Matlab","2014-06-06T06:29:48Z"
"713","LANL-Bioinformatics/FaQCs","","Perl","2014-01-22T22:36:38Z"
"714","Eitan177/targetSeqView","Visualize next generation sequencing reads over putative structural variants","R","2013-01-29T22:49:12Z"
"715","SmartphoneBrainScanner/smartphonebrainscanner2-core","Core of the smartphonebrainscanner2 framework.","C++","2012-12-16T11:17:18Z"
"716","chb/sample_ccdas","Repository of Sample CCDA Documents -- all comers welcome!","XSLT","2012-07-20T18:47:32Z"
"717","vsbuffalo/scythe","A 3'-end adapter contaminant trimmer","C","2011-02-03T03:19:01Z"
"718","najoshi/sickle","Windowed Adaptive Trimming for fastq files using quality","C","2011-02-09T01:18:45Z"
"719","UCI-CARL/ABADV","Allen Brain Atlas-Driven Visualizations is a web-based application created for visualizing expression energy data from the Allen Brain Atlas.","JavaScript","2014-02-10T19:35:26Z"
"720","yaarasegre/EPIQ","EPIQ - Efficient detection of SNP-SNP epistatic interactions for quantitative traits","C++","2014-04-07T11:24:27Z"
"721","compbio-UofT/fCNV","a probabilistic method for non-invasive analysis of de novo CNVs in fetal genome based on maternal plasma sequencing","Python","2014-03-31T19:20:04Z"
"722","apfejes/epigenetics-software","This repository contains code for epigenetic analysis, including a chip-seq/chip-chip tool, a database and a web server.","Python","2013-02-18T21:18:38Z"
"723","syrusakbary/pyjade","Jade syntax adapter for Django, Jinja2 and Mako templates","Python","2011-11-29T18:58:16Z"
"724","diatomsRcool/MexicanAmphibians","Python 2.7 code used to extract text objects from EOL for assessing Amphibian vulnerability","Python","2014-07-25T17:52:23Z"
"725","a-kramer/ode_rmhmc","Sources for the MATLAB implementation of RMHMC using Newton-Raphson steady state finding and linear equation sensitivity analysis","Matlab","2013-12-17T18:11:07Z"
"726","mikheyev/DNA-repair","Analysis pipeline for RAD-tag and whole genome shogun re-sequencing using damaged DNA","R","2013-10-26T04:06:17Z"
"727","EOL/pseudonitzchia","Biodiversity informatics code relevant to the Encyclopedia of Life","Python","2013-08-02T12:42:49Z"
"728","smirarab/ASTRAL","Accurate Species TRee ALgorithm","Java","2014-06-04T16:19:03Z"
